htid,recordid,locnum,author,datetype,startdate,enddate,textdate,subjects,genres,title
nyp.33433076093701,008661342,<blank>,"Smollett, T.",s,1796,    ,1796,English fiction,Fiction,"The miscellaneous works of Tobias Smollett, M. D"
mdp.39015070512465,000114021,Z6034.U5P4P,<blank>,s,1896,    ,1896,Bibliography;Pennsylvania;Geology,Bibliographies;NotFiction,"A list and brief guide to the publications of the Pennsylvania Geological survey, 1874-1891"
njp.32101067938686,008966448,<blank>,"Graglia, Giuspanio.",s,1828,    ,1828,<blank>,NotFiction;Dictionary,Italian pocket dictionary
uc1.$b735342,008235554,<blank>,"Starkey, Samuel Cross.",s,1849,    ,1849,Terms and phrases;Dictionaries;Panjabi language;Grammar;English,NotFiction,"A dictionary, English and Punjabee, outlines of grammar, also dialogues, English and Punjabee"
njp.32101066450717,008927571,ND497.R4A4 1825 Rosenwald Coll,<blank>,s,1825,    ,1825,"Catalogs;Reynolds, Joshua;Sir;1723-1792",NotFiction;Catalog,"A Descriptive catalogue of all the prints, with the engravers names and dates, which have been engraved from original portraits and pictures by Sir Joshua Reynolds"
mdp.39015082352991,000115901,<blank>,"Hunter, Robert,",s,1897,    ,1897,Encyclopedias and dictionaries;Dictionaries;English language,NotFiction;Encyclopedia;Dictionary,Universal dictionary of the English language;
nnc1.cu56803427,008433814,<blank>,"Prendeville, James.",s,1841,    ,1841,Gems,NotFiction,"Explanatory catalogue of the proof-impressions of the antique gems possessed by the late Prince Poniatowski, and now in the possession of John Tyrrell, Esq"
njp.32101077791737,008235538,PK1975.Z5P45,"Phillips, A. N.",s,1892,    ,1892,"Hindustani language;Idioms, corrections, errors",NotFiction,Hindustani idioms
mdp.39015005060028,001724060,<blank>,"Ainsworth, Robert,",s,1837,    ,1837,Latin language;Dictionaries;English;English language;Latin,UnknownGenre,"An abridgment of Ainsworth's dictionary, English and Latin, designed for the use of schools"
njp.32101065410746,009409995,<blank>,"Ainsworth, Robert,",s,1812,    ,1812,<blank>,NotFiction,"An abridgement of Ainsworth's dictionary, English and Latin"
coo.31924101513863,009164141,QK73.U62M53 1882,"Beal, W. J.",s,1882,    ,1882,State Agricultural College (Mich.);Botanic Garden,NotFiction,"A brief account of the Botanic Garden of the Michigan State Agricultural College, September 1882"
nyp.33433010727091,001494159,QK166.D15,"Dame, Lorin Low,",s,1888,    ,1888,Middlesex County;Botany;Massachusetts,NotFiction,"Flora of Middlesex County, Massachusetts"
uc1.b4148601,006167578,<blank>,"Chauveau, A.",s,1891,    ,1891,Veterinary anatomy,NotFiction,The comparative anatomy of the domesticated animals
nyp.33433075922603,008620771,<blank>,"Janson, Baldwin.",s,1793,    ,1793,Dutch language;Dictionaries;English;English language;Dutch,NotFiction;Dictionary,The new pocket dictionary of the Dutch and English languages
chi.092045559,011436266,<blank>,<blank>,m,1899,1901,1899-1901,Cipher and telegraph codes,NotFiction,New official vocabulary for telegrams in preconcerted language
nyp.33433075918460,008619257,<blank>,"Mair, John,",s,1809,    ,1809,Dictionaries;English;English language;Latin language;Latin;Grammar;Composition and exercises,NotFiction,"The tyro's dictionary, Latin and English"
wu.89102066685,007968826,QL549.K72,"Knobel, Edward,",s,1895,    ,1895,New England;Moths,NotFiction,The night moths of New England
nnc1.cu56822154,008433902,<blank>,<blank>,s,1869,    ,1869,"Catalogues of libraries (College, etc.), United States: New York: Columbia;Bibliography",Bibliographies;NotFiction;Catalog,"Catalogue of the Library of the School of Mines of Columbia College, New York. May, 1869"
nyp.33433081638813,008674968,<blank>,<blank>,s,1785,    ,1785,Gods;Dictionaries;English language,NotFiction;Dictionary,A general and complete dictionary of the English language
nyp.33433082514401,001177688,Z5916.D62,"Dixson, Zella Allen,",s,1897,    ,1897,Bibliography;Fiction,NotFiction,The comprehensive subject index to universal prose fiction;
nyp.33433008900320,008600675,<blank>,<blank>,m,1894,1895,1894-1895,Opium abuse;Opium trade,NotFiction,First report of the Royal commission on opium;
mdp.39015023478822,001165781,Z881.N67 1812,<blank>,s,1813,    ,1813,<blank>,NotFiction;Catalog,A catalogue of the books belonging to the New-York society library;
njp.32101068193273,008639676,PQ2005.M4E4,"Marmontel, Jean-François,",s,1807,    ,1807,"History;France;Louis XV, 1715-1774;Court and courtiers",ContainsBiogMaterial;NotFiction,"Memoirs of Marmontel, written by himself"
mdp.39015038807452,002239886,<blank>,"Wilcocke, Samuel Hull,",s,1798,    ,1798,Dutch language;Dictionaries;English,UnknownGenre,A new and complete dictionary of the English and Dutch languages;
mdp.39015080088068,001932477,<blank>,<blank>,m,1808,1810,1808-1810,Bible;Commentaries,UnknownGenre,An exposition of all the books of the Old and New Testaments
uc1.$b734908,008235143,<blank>,"Ainsworth, Robert,",s,1808,    ,1808,Latin language;Dictionaries;Latin;English language;English,NotFiction;Dictionary,"An abridgement of Ainsworth's dictionary, English and Latin"
nyp.33433069257362,008674985,<blank>,"Johnson, Samuel,",s,1817,    ,1817,Dictionaries;English language,NotFiction,Johnson's dictionary of the English language in miniature
uva.x001180963,009793450,<blank>,"Dickens, Charles,",s,1880,    ,1880,Italy;Canada;Description and travel;United States,Fiction,Christmas stories ; Pictures from Italy ; and American notes
nnc1.1002390477,008405691,Z8857.S54,"Shepherd, Richard Herne,",s,1887,    ,1887,"Bibliography;1837-1909;Swinburne, Algernon Charles",NotFiction,The bibliography of Swinburne;
mdp.39015058005649,001182441,PB2191.P8 1891,"Pughe, W. Owen",q,1891,    ,1891,Welsh;Dictionaries;English;English language;Welsh language,NotFiction;Dictionary,Geiriadur cenhedlaethol cymraeg a saesneg
wu.89094713674,005802781,<blank>,"Shipp, John,",s,1830,    ,1830,"History;India;British occupation, 1765-1947",NotFiction,Memoirs of the extraordinary military career of John Shipp
mdp.39015024819271,001725429,<blank>,"Groves, John.",s,1844,    ,1844,Greek language;Dictionaries;English;English language;Greek,UnknownGenre,"A Greek and English dictionary, comprising all the words in the writings of the most popular Greek authors"
mdp.39015052428201,001496122,QK11.P94,"Pritzel, Georg August,",s,1855,    ,1855,Pictorial works;Indexes;Plants;Nomenclature;Botany,NotFiction;Indexes,Iconum botanicarum index locupletissimus
mdp.39015030133816,001858241,<blank>,"Borrow, George Henry,",s,1815,    ,1845,Spain;Description and travel,UnknownGenre,The Bible in Spain;
mdp.39015014565405,001179937,Z7845.M5O8,"Osborn, George.",s,1869,    ,1869,"1703-1791;Wesley, John;Bibliography;Methodism",Bibliographies;NotFiction,Outlines of Wesleyan bibliography
mdp.39015064488532,001998947,<blank>,<blank>,s,1894,    ,1894,<blank>,UnknownGenre,A partial catalogue of the zoological collection
nyp.33433082179197,008677950,<blank>,"Graglia, Giuspanio.",s,1838,    ,1838,Dictionaries;English;Italian language,NotFiction;Dictionary,Italian pocket dictionary;
uc1.$b624157,007688642,PE1871.H6,"Hewett, Sarah.",s,1892,    ,1892,Devonshire;Dialects;English language,NotFiction,The peasant speech of Devon
pst.000004754671,008390368,BS491.J4 1859,<blank>,s,1859,    ,1859,Bible;Commentaries,NotFiction,The comprehensive commentary on the Holy Bible
nyp.33433082371059,000371929,ND497.B6G5,"Gilchrist, Alexander,",s,1863,    ,1863,"Blake, William;1757-1827",Bibliographies;NotFiction,Life of William Blake
nyp.33433081614723,008678489,<blank>,"Spiers, A.",s,1873,    ,1873,<blank>,NotFiction;Dictionary,The standard pronouncing dictionary of the French and English languages
wu.89080442486,001612927,TA350.S6,"Smith, Robert H.",s,1889,    ,1889,"Graphic statics;Graphic methods;Machinery, Kinematics of",NotFiction,Graphics;
uc1.b151812,001177688,Z5916.D62,"Dixson, Zella Allen,",s,1897,    ,1897,Bibliography;Fiction,NotFiction,The comprehensive subject index to universal prose fiction;
mdp.39015062934875,001725419,<blank>,"Xenophon,",s,1727,    ,1727,<blank>,UnknownGenre,Xenophon's Ephesian history
mdp.39015075926355,005806209,<blank>,Kansas. University,s,1867,    ,1867,<blank>,UnknownGenre,Catalogue
nyp.33433082496310,008653937,SD363.S62,"Skinner, Charles Rufus,",s,1890,    ,1890,Tree planting;Arbor Day,NotFiction,Arbor day manual
nyp.33433002986226,008590395,<blank>,"Richardson, Charles,",s,1856,    ,1856,Dictionaries;English language,NotFiction;Dictionary,Supplement to A new dictionary of the English language
nyp.33433081987749,008680719,<blank>,"Worcester, Joseph E.",s,1850,    ,1850,Encyclopedias and dictionaries;Dictionaries;English language,NotFiction;Dictionary,An elementary dictionary for common schools;
nyp.33433010954349,001579556,R121.C99,"Cutter, George R.",s,1879,    ,1879,Dictionaries;Medicine,NotFiction;Dictionary,A dictionary of the German terms used in medicine
njp.32101072897638,009010142,<blank>,"Soule, Richard,",s,1898,    ,1898,Synonyms and antonyms;Dictionaries;English language,NotFiction,A dictionary of English synonymes and synonymous or parallel expressions
uc1.32106010436001,007126227,<blank>,"Grocott, John Cooper,",s,1890,    ,"<estimate=""[189-?]"">","Quotations, English",NotFiction,Familiar quotations
mdp.39015020180405,002431365,<blank>,"Swan, Samuel,",s,1886,    ,1886,Catalogs;catalogs;Materia Medica;Materia medica and therapeutics;Homeopathy,NotFiction,"Catalogue of morbific products, nosodes, and other remedies in high potencies"
nyp.33433019287881,008606342,<blank>,"McNeill, Bedford,",s,1895,    ,1895,Cipher and telegraph codes,NotFiction,McNeill's code
nyp.33433010954216,008594123,<blank>,"Meredith, Charles,",s,1880,    ,1880,Australia;Tasmania;Zoology,NotFiction,"Tasmanian friends and foes, feathered, furred, and finned;"
mdp.39015070379295,001182731,PZ2640.S7 1872,"Spiers, Alexander,",s,1872,    ,1872,Texts;French;Dictionaries;English;English language;French language,NotFiction;Dictionary,Spiers and Surenne's French and English pronoucing dictionary
uc1.b3579411,006678483,PR5056.A5 1853,"Moore, Thomas,",m,1853,    ,1853-1856,"1779-1852;Moore, Thomas",Fiction,"Memoirs, journal, and correspondence of Thomas Moore"
nyp.33433082193578,008673815,<blank>,"Lucian,",s,1781,    ,1781,Greek literature,Fiction,The works of Lucian
nyp.33433066628953,008683889,SK93.C77,"Cooley, Myron.",s,1894,    ,1894,Hunting;Fishing;Minnesota,NotFiction,Outings and innings in Northern Minnesota
mdp.39015057619382,001423413,<blank>,"Swift, Jonathan,",m,1767,1769,1767-1769,<blank>,UnknownGenre,Letters written by Jonathan Swift
nnc1.1002346672,008405454,<blank>,"Drake, Peter,",s,1755,    ,1755,History;Great Britain;1689-1714,NotFiction,The memoirs of Capt. Peter Drake
mdp.39015005763209,001781475,<blank>,"Goethe, Johann Wolfgang von,",s,1882,    ,1882,<blank>,UnknownGenre,The autobiography of Goethe
njp.32101068580172,008972698,LD5481.U71 1895,<blank>,s,1895,    ,1895,<blank>,NotFiction;Catalog,Union University
wu.89099425829,008988226,<blank>,"Webster, Noah,",s,1841,    ,1841,Dictionaries;English language,NotFiction;Dictionary,A dictionary for primary schools
mdp.39015045820597,001770484,<blank>,"Millhouse, John.",s,1894,    ,1894,<blank>,UnknownGenre,New English and Italian pronouncing and explanatory dictionary
uc1.$b732135,009964198,<blank>,"Oudinot, Eugénie de Coucy,",s,1897,    ,1897,"Oudinot, Nicholas Charles;duc de Reggio;1769-1847",NotFiction,Memoirs of Marshal Oudinot
uc1.b3921356,001162589,Z1035.B95,"Burgayne, Frank James,",s,1895,    ,1895,Library science;Best books,NotFiction,Books for village libraries;
nyp.33433069238875,008620105,<blank>,"Hilpert, J. L.",s,1846,    ,1846,German;Dictionaries;English;English language;German language,NotFiction;Dictionary,"A dictionary of the English and German, and the German and English language"
nyp.33433082179213,008684783,<blank>,"Graglia, Giuspanio.",m,1818,1820,1818-1820,Italian;Dictionaries;English;Italian language;English language,NotFiction,The new pocket-dictionary of the Italian and English languages
mdp.39015041903314,001418643,<blank>,"Dickens, Charles,",s,1875,    ,1875,<blank>,UnknownGenre,A cyclopedia of the best thoughts of Charles Dickens
mdp.39015078563239,001423378,<blank>,"Swift, Jonathan,",s,1772,    ,1772,<blank>,Tree calf bindings (Binding);Gilt edges (Binding);Calf bindings (Binding);Tooled lettering (Binding);Armorial bindings (Binding);Decorated edges (Binding);Lettering pieces (Binding);UnknownGenre;Headbands (Binding);Worked headbands (Binding);Gold tooled bindings (Binding);Smooth spines (Binding),The works of the Reverend Dr. Jonathan Swift
wu.89094305398,005757366,<blank>,<blank>,s,1894,    ,1894,India;Antiquities;Bibliography;Zoology,Bibliographies;NotFiction;Catalog,Catalogue of the books in the library of the Indian museum
hvd.hw22by,009710584,<blank>,"Coles, Elisha,",s,1755,    ,1755,Latin language;Dictionaries;Latin;English language;English,NotFiction;Dictionary,"A dictionary, English-Latin, and Latin-English;"
njp.32101076417615,009031911,<blank>,"Bellew, H. W.",s,1867,    ,1867,Pushto;Dictionaries;English;Pushto language;English language,NotFiction;Dictionary,"A dictionary of the Puḵḵẖto or Puḵs̲ẖto language, in which the words are traced to their sources in the Indian and Persian languages"
nyp.33433082311279,008677864,<blank>,"Wessely, J. E.,",s,1870,    ,1870,Italian;Dictionaries;English;Italian language;English language,NotFiction;Dictionary,A new pocket dictionary of the English and Italian languages
hvd.hwpny3,001018226,PR2892.D6 1832,"Shakespeare, William,",s,1832,    ,1832,"1564-1616;Shakespeare, William;Quotations",NotFiction,The Shakespearian dictionary;
nyp.33433074391651,008619145,<blank>,"Bottarelli, Ferdinando.",s,1820,    ,1820,French language;Dictionaries;Polyglot;Italian language;English language,NotFiction;Dictionary,"The new Italian, English, and French pocket dictionary"
nnc1.0025982508,008394728,<blank>,"Cicero, Marcus Tullius.",s,1854,    ,1854,<blank>,NotFiction,The life and letters of Marcus Tullius Cicero
mdp.39015009156525,000475400,J66,<blank>,s,1872,    ,1872,"History;Reconstruction (U.S. history, 1865-1877);Southern States;Ku Klux Klan (19th cent.);1865-1877",NotFiction,"Report of the Joint select committee appointed to inquire into the condition of affairs in the late insurrectionary states, so far as regards the execution of laws, and the safety of the lives and property of the citizens of the United States and Testimony taken"
uc1.b4313201,006216452,QK57.A64,"Apgar, Ellis A",|,1892,||||,1892,Forms;Botany;Study and teaching;Analysis;Plants;Classification,NotFiction,Apgar's new plant analysis
nnc1.ar52460622,008411388,<blank>,<blank>,s,1893,    ,1893,<blank>,NotFiction;Catalog,Catalogue of a valuable collection of modern paintings to be sold
hvd.hwsjgj,009721032,<blank>,"Richards, William.",s,1821,    ,1821,<blank>,NotFiction;Dictionary,An English and Welsh dictionary
ucm.5325298384,009319898,<blank>,"Nugent, Thomas,",s,1784,    ,1784,Diccionarios;Lengua inglesa;Lengua francesa;Obras anteriores a 1800,UnknownGenre,The new pocket dictionary of the French and English languages
njp.32101075437317,010363927,NK1120.B8,"Bridgens, Richard.",s,1838,    ,1838,Interior decoration;Furniture,NotFiction,Furniture with candelabra and interior decoration
coo.31924014564581,007701603,<blank>,"Muret, Eduard,",m,1900,1905,1900-1905,German;Dictionaries;English;English language;German language,NotFiction;Dictionary,Muret-Sanders Enzyklopädisches englisch-deutsches und deutsch-englisches Wörterbuch
mdp.39015034628175,001171885,Z5819.P54,<blank>,s,1887,    ,1887,Catalogs;Best books;Bibliography;Education,Bibliographies;NotFiction;Catalog,Catalogue of the Pedagogical library and the books of reference in the office of the superintendent of public schools
mdp.39015059389752,000115904,PE1628.H8 1879,"[Hurst, Thomas D.]",s,1879,    ,1879,Dictionaries;English language,NotFiction;Dictionary,The American popular dictionary
njp.32101074871789,007705390,<blank>,<blank>, ,1897,    ,1897,Biography;Atlases;Encyclopedias and dictionaries;Dictionaries;English language,Handbooks;NotFiction;Encyclopedia;Dictionary,The Century dictionary and cyclopedia;
njp.32101074016435,009020774,<blank>,<blank>,s,1888,    ,1888,Alps;Mountaineering;Bibliography,Bibliographies;NotFiction;Catalog,Catalogue of books in the library of the Alpine club
nyp.33433081782801,008700271,<blank>,<blank>,s,1872,    ,1872,Ku-Klux Klan;Reconstruction;Southern States;1865-1877;History,NotFiction,"Report of the Joint Select Committee to Inquire into the Condition of Affairs in the Late Insurrectionary States, made to the two Houses of Congress February 19, 1872"
uc1.b4021843,009658296,PL5107.C8,"Crawfurd, John,",s,1852,    ,1852,Malay;Dictionaries;English;English language;Malayan languages;Grammar,NotFiction,A grammar and dictionary of the Malay language
mdp.39015079928001,001174737,Z881.C57P '79,<blank>,s,1879,    ,1879,<blank>,NotFiction,List of periodicals and newspapers currently received in the Public library of Cincinnati
uc1.b3579413,006678483,PR5056.A5 1853,"Moore, Thomas,",m,1853,    ,1853-1856,"1779-1852;Moore, Thomas",Fiction,"Memoirs, journal, and correspondence of Thomas Moore"
nyp.33433082311261,008677862,<blank>,"Wessely, J. E.,",s,1870,    ,1870,Italian;Dictionaries;English;Italian language;English language,NotFiction;Dictionary,A new pocket dictionary of the English & Italian languages
uva.x030732062,007705390,<blank>,<blank>, ,1897,    ,1897,Biography;Atlases;Encyclopedias and dictionaries;Dictionaries;English language,Handbooks;NotFiction;Encyclopedia;Dictionary,The Century dictionary and cyclopedia;
mdp.39015005477214,001781474,<blank>,"Goethe, Johann Wolfgang von,",s,1882,    ,1882,<blank>,UnknownGenre,The autobiography of Goethe
hvd.32044103136685,009730999,J11.G5,<blank>,s,1834,    ,1834-1873,United States;Politics and government,NotFiction,The Congressional globe
uc1.b25125,006558668,SB393.M4,"Mazade, Marcel.",s,1900,    ,1900,Viticulture;Grapes,NotFiction,First steps in ampelography
nyp.33433008284071,001496628,Q11.U6,"Scudder, Samuel Hubbard,",s,1882,    ,1882,Animals;Nomenclature,NotFiction,Nomenclator zoologicus
nnc1.1002387948,001185928,PR5453.S8A8 1840,"Smith, James,",s,1840,    ,1840,<blank>,NotFiction,"Memoirs, letters, and comic miscellanies in prose and verse, of the late James Smith"
mdp.39015080236907,001278958,L357.A7 1881,<blank>,s,1881,    ,1881,"Education, Secondary;Education, Higher;Monmouthshire;Education;Wales;England",NotFiction,Report of the Committee appointed to inquire into the condition of intermediate and higher education in Wales [and Monmouthshire] with minutes of evidence and appendix
hvd.32044079762639,009733573,<blank>,"Dalrymple, Charles John,",s,1838,    ,1838,<blank>,NotFiction,"Report of the trial of the students on the charge of mobbing, rioting, and assault, at the college, on January 11 & 12, 1838"
nyp.33433076015621,000775982,Z5055.U5.J66,<blank>,m,1892,1894,1892-1894,"Dissertations, Academic;Bibliography;Johns Hopkins University",Bibliographies;NotFiction,"Bibliographia Hopkinsiensis, 1876-1893"
uva.x002650306,004540123,PR2892.D6 1851,"Shakespeare, William,",s,1851,    ,1851,"1564-1616;Shakespeare, William;Quotations",NotFiction;Dictionary,Dictionary of Shakespearian quotations
nyp.33433074392303,001898872,<blank>,"Rellye, John",s,1888,    ,1888,<blank>,UnknownGenre,A dictionary of the English & Volapük languages
uva.x030732061,007705390,<blank>,<blank>, ,1897,    ,1897,Biography;Atlases;Encyclopedias and dictionaries;Dictionaries;English language,Handbooks;NotFiction;Encyclopedia;Dictionary,The Century dictionary and cyclopedia;
hvd.hx5g8h,009719553,<blank>,"Entick, [John],",s,1831,    ,1831,<blank>,NotFiction,Spelling dictionary of the English language
hvd.32044086661139,009722117,<blank>,"Webster, Noah,",s,1834,    ,1834,Dictionaries;English language,NotFiction,A dictionary for primary schools
nnc1.1002312450,008405290,<blank>,"Blenkinsop, Adam,",s,1852,    ,1852,<blank>,NotFiction,Memoirs of Dr. Blenkinsop
mdp.39015076400822,005409418,<blank>,"Notre Dame, Ind. University.",s,1854,    ,1854,<blank>,UnknownGenre,Catalogue
uc1.b3546693,006672184,<blank>,"Smollett, T.",s,1811,    ,1811,<blank>,NotFiction,"The miscellaneous works of Tobias Smollett, M.D"
mdp.39015078563171,001423399,<blank>,"Swift, Jonathan,",m,1765,1775,1765-1775,<blank>,UnknownGenre,The works of Dr. Jonathan Swift
uc1.b4512344,001516976,SK35.J18,"Jacolliot, Louis,",s,1888,    ,1888,Hunting;Africa;Asia,NotFiction,Hunting in the jungle with gun and guide after large game;
mdp.39015014839370,001787380,<blank>,<blank>,s,1847,    ,1847,<blank>,UnknownGenre,A new pocket-dictionary of the English and Swedish languages
njp.32101068579307,008972667,NK4653.P7W5,"Windus, Thomas,",s,1845,    ,1845,Portland Vase;Sarcophagi,Bibliographies;NotFiction,A new elucidation of the subjects on the celebrated Portland vase
mdp.39015051142381,000587419,PR4345.R4,"Reid, J. B.,",s,1889,    ,1889,"Concordances;Burns, Robert;1759-1796",Biography;NotFiction,A complete word and phrase concordance to the poems and songs of Robert Burns
njp.32101076057841,009027368,<blank>,"Lewes, Charles Lee,",s,1805,    ,1805,"Actors;1740-1803;Lewes, Charles Lee;Correspondence",ContainsBiogMaterial;NotFiction,Memoirs of Charles Lee Lewes
nyp.33433076095706,008661466,<blank>,"Swift, Jonathan,",m,1765,1779,1765-1779,<blank>,NotFiction,"The works of Dr. Jonathan Swift, Dean of St. Patrick's, Dublin"
njp.32101068912607,008975489,KDK102.M65,"Mongan, James.",s,1832,    ,1832,Ireland;Trials,NotFiction,"A report of trials before the Right Hon. the Lord Chief Justice, and the Hon. Baron Sir Wm. C. Smith, bart., at the Special Commission, at Maryborough"
nnc1.1002306654,008405269,<blank>,"Soule, Richard,",s,1885,    ,1885,Synonyms;English language,NotFiction;Dictionary,A dictionary of English synonymes and synonymous or parallel expressions;
uva.x002400085,006678483,PR5056.A5 1853,"Moore, Thomas,",m,1853,    ,1853-1856,"1779-1852;Moore, Thomas",Fiction,"Memoirs, journal, and correspondence of Thomas Moore"
mdp.39015059749195,001493715,QK73.K4A68,<blank>,s,1897,    ,1897,"England;Monocotyledons;Plants, Cultivated;Kew",NotFiction,"Hand-list of tender monocotyledons, excluding Orchideæ, cultivated in the Royal Gardens, Kew"
nyp.33433000205330,001065483,LA635.A16,<blank>,s,1864,    ,1864,Endowed public schools (Great Britain),NotFiction,"Report of Her Majesty's commissioners appointed to inquire into the revenues and management of certain colleges and school, and the studies pursued and instruction given therein"
mdp.39015065130000,005344387,<blank>,<blank>,s,1873,    ,1873,Catalogs;Chairs,NotFiction;Catalog,"Illustrated catalogue of folding chairs, and childrens' reversible body carriages, made by the New Haven folding chair co., New Haven, Conn. March 1st 1873"
nyp.33433082375464,006678483,PR5056.A5 1853,"Moore, Thomas,",m,1853,    ,1853-1856,"1779-1852;Moore, Thomas",Fiction,"Memoirs, journal, and correspondence of Thomas Moore"
mdp.39015061881242,001496914,QK495.M8M7,"Mueller, Ferdinand von,",s,1886,    ,1886,Australia;Myoporaceae;Botany,NotFiction,Description and illustrations of the myoporinous plants of Australia
uva.x001153158,009775431,<blank>,"James, William.",s,1857,    ,1857,Italian;Dictionaries;English;Italian language;English language,NotFiction;Dictionary,Dictionary of the English and Italian languages for general use
mdp.39015030696242,001232113,PM43.L4,"Lee, Charles A.",s,1896,    ,1896,Aleut;Dictionaries;Aleut language;English language;English,NotFiction;Dictionary,Aleutian Indian and English dictionary
yale.39002005436853,008728687,DA536.H75A2,"Hunt, Henry,",m,1820,1822,1820-1822,Biography;Radicals;Great Britain,NotFiction,"Memoirs of Henry Hunt, Esq"
njp.32101037569231,001022714,PR3658.R46R4,"Reed, Joseph,",s,1761,    ,1761,<blank>,NotFiction,The register-office
nyp.33433005989748,008605675,<blank>,<blank>,s,1887,    ,1887,"England;Education, Elementary;Wales",NotFiction,Elementary education acts
mdp.39015024255195,001331183,<blank>,<blank>,s,1878,    ,1878,Dictionaries;English language;Hindustani,UnknownGenre,A Romanized dictionary in English and Hindustani designed for the use of schools and for English students
mdp.39015020122902,001588087,RX261.R4P9,"Pulford, Alfred.",s,1898,    ,1898,Materia medica and therapeutics;Homeopathy;Rheumatism;Sciatica,NotFiction,"Repertory of the symptoms of rheumatism, sciatica, ecetera"
nyp.33433082344973,008639629,F2066.M17,"Macpherson, Charles.",s,1800,    ,1800,Social life and customs;West Indies;Slavery,NotFiction,"Memoirs of the life and travels of the late Charles Macpherson, esq. in Asia, Africa, and America"
uc1.b4182674,006178803,Z6034.A9E8,"Etheridge, Robert,",s,1881,    ,1881,Australia;Tasmania;Mines and mineral resources;Bibliography;Geology,Bibliographies;NotFiction,"Catalogue of works, papers, reports, and maps, on the geology, palæontology, mineralogy, mining and metallurgy, etc. of the Australian continent and Tasmania"
uc1.$b641070,008521304,<blank>,"Kontopoulos, Nikolaos,",s,1869,    ,1869,"Dictionaries;Greek, Modern;English language",NotFiction;Dictionary,A lexicon of modern Greek-English and English-Modern Greek =
nyp.33433082448881,008642519,DT826.L63,"Le Vaillant, François,",s,1790,    ,1790,Hunting;Natural history;Early works to 1800;Description and travel;South Africa,NotFiction,"Travels from the Cape of Good-Hope, into the interior parts of Africa"
uva.x001153160,009780746,<blank>,"James, William,",s,1889,    ,1889,Italian;Dictionaries;English;Italian language;English language,NotFiction;Dictionary,Dictionary of the English and Italian languages for general use
mdp.39015008016027,001185544,PR5430.E5,<blank>,s,1892,    ,1892,"Shelley, Percy Bysshe;Concordances;1792-1822",NotFiction;Indexes,A lexical concordance to the poetical works of Percy Bysshe Shelley
mdp.39015031137527,001725606,<blank>,"Blochmann, H.",s,1877,    ,1877,Dictionaries;Hindustani language;English,UnknownGenre,"English and Urdu dictionary, romanized"
njp.32101067687473,001472139,NK5565.S7,"Spilsbury, John,",s,1784,    ,1784,Gems;Private collections,NotFiction,A collection of fifty prints from antique gems
nyp.33433082312228,008675469,<blank>,"Worcester, Joseph E.",s,1830,    ,1830,Dictionaries;English language,NotFiction,A comprehensive pronouncing and explanatory dictionary of the English language
nyp.33433082361571,008612330,HV6535.G8L83,"Huish, Robert,",s,1849,    ,1849,"Manning, Maria DeRoux;d. 1849",NotFiction,"The progress of crime, or, The authentic memoirs of Maria Manning"
uva.x030696384,009774749,PE1625.A5 1897,<blank>,s,1897,    ,1897,Dictionaries;English language,NotFiction;Dictionary,The American encyclopædic dictionary
nyp.33433034361869,008608884,<blank>,"Pitman, Benn,",s,1888,    ,1888,Phrase books;Shorthand;Dictionaries,NotFiction,The phonographic dictionary
mdp.39015086607531,001504073,S451,"Emmons, Ebenezer,",m,1846,1854,1846-1854,Agriculture;New York (State),NotFiction,Agriculture of New-York
mdp.39015076400616,005409418,<blank>,"Notre Dame, Ind. University.",s,1854,    ,1854,<blank>,UnknownGenre,Catalogue
njp.32101072898065,009010164,<blank>,<blank>,s,1888,    ,1888,Bibliography;Dialects;English language,NotFiction,Catalogue of the English Dialect Library. The English dialect library ... Catalogue. pt.II
hvd.32044042301309,008585163,<blank>,"Le Vaillant, François,",s,1796,    ,1796,"Early works to 1800;Description and travel;Africa, Southern;South Africa",NotFiction,New travels into the interior parts of Africa
njp.32101067687259,008964089,<blank>,"Cellini, Benvenuto,",s,1888,    ,1888,<blank>,NotFiction,The life of Benvenuto Cellini
wu.89094587300,005764201,<blank>,<blank>,m,1835,1847,1835-1847,Bible;Commentaries,NotFiction,The Comprehensive commentary on the Holy Bible
uc1.b4513015,006254256,SH431.D41,"Dennys, John,",r,1883,1613,1883,Fishing,NotFiction,The secrets of angling
mdp.39015074926075,000405079,F234.M9M85,<blank>,s,1896,    ,1896,Mount Vernon (Va. : Estate),NotFiction,Report ... 1858-95
hvd.32044103136636,009730999,J11.G5,<blank>,s,1834,    ,1834-1873,United States;Politics and government,NotFiction,The Congressional globe
nnc1.50173015,008407453,<blank>,<blank>,s,1837,    ,1837,<blank>,NotFiction,The Cottage Bible and family expositor
nyp.33433081987525,008679762,<blank>,"Sullivan, Robert.",s,1850,    ,1850,Encyclopedias and dictionaries;Dictionaries;English language,NotFiction;Dictionary,A dictionary of the English language
mdp.39015075926421,005806209,<blank>,Kansas. University,s,1867,    ,1867,<blank>,UnknownGenre,Catalogue
hvd.32044106526072,009730999,J11.G5,<blank>,s,1834,    ,1834-1873,United States;Politics and government,NotFiction,The Congressional globe
mdp.39015001528689,000557477,PR4580.P7,"Pierce, Gilbert Ashville,",s,1872,    ,1872,"1812-1870;Dictionaries, indexes, etc;Dickens, Charles",NotFiction,The Dickens dictionary;
